1	263531	Мстители	2024-04-13 19:52:19.882352	\N
2	838	Человек-паук	2024-04-13 19:52:19.905247	\N
3	160946	Первый мститель	2024-04-13 19:52:19.929303	\N
4	23263	Фантастическая четверка	2024-04-13 19:52:19.949031	\N
5	271748	Герои	2024-04-13 19:52:19.971173	\N
6	220589	Телепорт	2024-04-13 19:52:19.990123	\N
7	462762	Железный человек 3	2024-04-13 19:52:20.009015	\N
8	309	Эквилибриум	2024-04-13 19:58:59.186003	\N
9	399959	Трон: Наследие	2024-04-13 19:58:59.20638	\N
10	409208	Обитель зла 4: Жизнь после смерти 3D	2024-04-13 19:58:59.225406	\N
11	447301	Начало	2024-04-13 19:58:59.247367	\N
12	325797	Аниматрица	2024-04-13 19:58:59.266924	\N
13	3800	Джонни Мнемоник	2024-04-13 19:58:59.288817	\N
14	416107	Монте-Карло	2024-04-13 20:14:32.225192	\N
15	3842	История Золушки	2024-04-13 20:14:32.244209	\N
16	2459	Суперзвезда	2024-04-13 20:14:32.264385	\N
17	405606	Ханна Монтана: Кино	2024-04-13 20:14:32.284326	\N
18	82928	Сабрина едет в Рим	2024-04-13 20:14:32.304677	\N
19	1086	Тринадцатый этаж	2024-04-13 20:19:09.108736	\N
20	4739	Тёмный город	2024-04-13 20:19:09.134091	\N
21	8228	Призрак в доспехах	2024-04-13 20:19:09.154459	\N
22	17463	Трон	2024-04-13 20:19:09.175662	\N
23	81291	Остров	2024-04-13 20:19:09.195547	\N
24	6302	Детсадовский полицейский	2024-04-13 20:19:10.258285	\N
25	77450	Лысый нянька: Спецзадание	2024-04-13 20:19:10.276514	\N
26	3843	Оптом дешевле	2024-04-13 20:19:10.296271	\N
27	3926	Балбесы	2024-04-13 20:19:20.023455	\N
28	429739	Ученик чародея	2024-04-13 20:19:21.615883	\N
29	817510	Железный кулак	2024-04-13 20:19:21.634902	\N
30	391772	Всегда говори «ДА»	2024-04-13 20:19:31.748837	\N
31	1594	Анализируй это	2024-04-13 20:19:31.767288	\N
32	161133	Школа негодяев	2024-04-13 20:19:31.786915	\N
33	9207	А как же Боб?	2024-04-13 20:19:31.808226	\N
34	1591	Анализируй то	2024-04-13 20:19:31.82945	\N
35	12198	Игра	2024-04-13 20:19:31.85155	\N
36	462938	Мой парень — псих	2024-04-13 20:19:31.873993	\N
37	464963	Игра престолов	2024-04-13 20:19:33.288968	\N
38	276762	Гарри Поттер и Дары Смерти: Часть I	2024-04-13 20:19:33.309467	\N
39	407636	Гарри Поттер и Дары Смерти: Часть II	2024-04-13 20:19:33.331227	\N
40	89515	Гарри Поттер и Принц-полукровка	2024-04-13 20:19:33.351652	\N
41	277328	Варкрафт	2024-04-13 20:19:33.370546	\N
42	4374	Пираты Карибского моря: Проклятие Черной жемчужины	2024-04-13 20:19:33.390614	\N
43	279791	Соломон Кейн	2024-04-13 20:19:33.409432	\N
44	770	Одиннадцать друзей Оушена	2024-04-13 20:19:42.416925	\N
45	1952	Великолепная афера	2024-04-13 20:19:42.438141	\N
46	12819	Афера Томаса Крауна	2024-04-13 20:19:42.456803	\N
47	102198	Иллюзионист	2024-04-13 20:19:42.477422	\N
48	383	Афера	2024-04-13 20:19:42.498435	\N
49	105053	Она – мужчина	2024-04-13 20:19:43.696188	\N
50	50225	Гол!	2024-04-13 20:19:43.71989	\N
51	102284	Грейси	2024-04-13 20:19:43.739065	\N
52	106071	Лучший удар	2024-04-13 20:19:43.760358	\N
53	470656	Погребенный заживо	2024-04-13 20:19:53.623574	\N
54	63778	Сотовый	2024-04-13 20:19:53.644479	\N
55	493222	На грани	2024-04-13 20:19:53.663416	\N
56	674295	Тревожный вызов	2024-04-13 20:19:53.683938	\N
57	400582	Опасные пассажиры поезда 123	2024-04-13 20:19:53.701933	\N
58	1968	Скорость	2024-04-13 20:19:53.722935	\N
59	61325	Соучастник	2024-04-13 20:19:53.740758	\N
60	195272	Мальчик в девочке	2024-04-13 20:19:55.047897	\N
61	471587	Хочу как ты	2024-04-13 20:19:55.070973	\N
62	7091	Чумовая пятница	2024-04-13 20:19:55.093479	\N
63	395066	Папе снова 17	2024-04-13 20:19:55.115126	\N
64	254776	Любовь-морковь	2024-04-13 20:19:55.135774	\N
65	21178	Загадай желание	2024-04-13 20:19:55.155752	\N
66	840	Шпионские игры	2024-04-13 20:20:04.60584	\N
67	281449	Совокупность лжи	2024-04-13 20:20:04.624508	\N
68	619	Идентификация Борна	2024-04-13 20:20:04.646478	\N
69	863	Тренировочный день	2024-04-13 20:20:04.667206	\N
70	507818	Код доступа «Кейптаун»	2024-04-13 20:20:04.68693	\N
71	81314	Отступники	2024-04-13 20:20:04.705563	\N
72	505851	Грань будущего	2024-04-13 20:20:06.950512	\N
73	160932	Терминатор: Да придёт спаситель	2024-04-13 20:20:06.987758	\N
74	252667	Человек из стали	2024-04-13 20:20:07.011559	\N
75	321842	Предложение	2024-04-13 20:20:18.252529	\N
76	17643	Законы привлекательности	2024-04-13 20:20:18.274508	\N
77	755	Мисс Конгениальность	2024-04-13 20:20:18.295418	\N
78	5330	Вам письмо	2024-04-13 20:20:18.317881	\N
79	6144	Реальная любовь	2024-04-13 20:20:18.341739	\N
80	251918	С глаз — долой, из чарта — вон!	2024-04-13 20:20:18.361264	\N
81	496943	Форсаж 5	2024-04-13 20:20:29.961902	\N
82	77649	Ограбление на Бейкер-Стрит	2024-04-13 20:20:29.983942	\N
83	103785	Не пойман — не вор	2024-04-13 20:20:30.004191	\N
84	18294	Двенадцать друзей Оушена	2024-04-13 20:20:30.024928	\N
85	251879	Тринадцать друзей Оушена	2024-04-13 20:20:30.046806	\N
86	420986	Мальчики-налетчики	2024-04-13 20:20:30.068129	\N
87	301	Матрица	2024-04-13 20:20:39.71803	\N
88	5012	Гаттака	2024-04-13 20:20:39.737567	\N
89	517988	Время	2024-04-13 20:20:39.758554	\N
90	86208	«V» значит Вендетта	2024-04-13 20:20:39.779167	\N
91	496	Особое мнение	2024-04-13 20:20:39.807134	\N
92	391277	Потрошители	2024-04-13 20:20:39.829669	\N
93	373391	Трансформеры: Месть падших	2024-04-13 20:20:42.682993	\N
94	81288	Трансформеры	2024-04-13 20:20:42.703831	\N
95	387477	На крючке	2024-04-13 20:20:42.724253	\N
96	260995	Терминатор: Битва за будущее	2024-04-13 20:20:42.742791	\N
97	4886	Я, робот	2024-04-13 20:20:42.762143	\N
98	397671	Суррогаты	2024-04-13 20:20:42.781805	\N
99	597687	Люди Икс: Дни минувшего будущего	2024-04-13 20:20:42.802717	\N
